Customer ID,Total Revenue
CRM-1502900,"$270,730"
CRM-1514550,"$637,657"
CRM-1441700,"$109,059"
CRM-907950,$0
CRM-1493050,"$118,589"
CRM-1494150,"$6,222"
CRM-1456750,"$128,268,436"
CRM-1456650,"$1,939,886"
CRM-1494000,"$9,090,329"
CRM-1465200,$0
CRM-1267350,"$17,758"
CRM-1468200,"$3,321,232"
CRM-1480550,$0
CRM-1521500,"$1,332"
CRM-329000,"$2,076,835"
CRM-1519950,"$24,571"
CRM-1460150,"$13,881,041"
CRM-1480600,$0
CRM-591000,"$244,078"
CRM-927200,"$5,188,245"
CRM-1446750,"$177,156"
CRM-1517800,"$17,721"
CRM-556900,"$3,390,031"
CRM-1530950,"$16,974"
CRM-1496900,"$576,575"
CRM-153300,$0
CRM-1471600,"$467,337"
CRM-1490450,$0
CRM-262450,$276
CRM-1559900,"$1,010,720"
CRM-1597400,"$8,347"
CRM-1494300,"$444,049"
CRM-1537800,"$207,775"
CRM-1502700,"$161,758"
CRM-1437050,"$2,530,927"
CRM-1515700,"$1,979,790"
CRM-1002400,"$279,868"
CRM-1483050,"$644,901"
CRM-1456600,$9
CRM-1500200,$8
CRM-1520250,"$14,057"
CRM-172850,"$76,485"
CRM-424550,"$26,556"
CRM-547400,"$60,360"
CRM-1447100,"$8,850"
CRM-1485750,"$13,070"
CRM-349150,"$99,613"
CRM-1447650,"$5,828"
CRM-908900,"$25,772"
CRM-424500,"$20,071"
CRM-1589750,$0
CRM-1502750,"$1,288"
CRM-1497050,$0
CRM-558150,"$740,230"
CRM-1528600,"$19,660"
CRM-1472200,"$220,781"
CRM-607700,"$136,151"
CRM-510050,"$139,085"
CRM-1467750,"$329,883"
CRM-1552300,"$179,858"
CRM-670600,"$3,776"
CRM-941800,"$637,449"
CRM-1446900,"$1,035,000"
CRM-1441050,"$56,079"
CRM-1441100,"$156,558"
CRM-1478350,"$149,894,724"
CRM-950700,"$263,525"
CRM-1500250,"$11,069,106"
CRM-1500450,"$96,572"
CRM-1534450,"$10,144"
CRM-724550,"$435,882"
CRM-1587000,$0
CRM-1520850,"$359,298"
CRM-393800,$0
CRM-1513850,"$2,441,538"
CRM-1549300,"$3,731,774"
CRM-1286600,"$1,415,377"
CRM-1476200,$0
CRM-1483600,"$302,522"
CRM-651350,"$1,061,074"
CRM-1165050,"$136,669"
CRM-303900,"$1,148,125"
CRM-1509500,"$292,085"
CRM-1500300,$0
CRM-155550,"$308,751"
CRM-159200,"$147,661"
CRM-1521250,"$614,278"
CRM-1483150,$0
CRM-1337250,"$73,006"
CRM-200350,$0
CRM-1513300,"$432,891"
CRM-1450500,"$2,789,805,441"
CRM-1503600,"$449,158"
CRM-246300,$0
CRM-1507300,"$43,633"
CRM-158700,"$2,023,071"
CRM-1514050,"$93,634"
CRM-1499900,$0
CRM-1500400,$0
CRM-1471050,$0
CRM-1172350,"$170,615"
CRM-1488800,"$15,787"
CRM-1488850,"$53,318"
CRM-1531800,$0
CRM-5600650,$0
CRM-1492550,"$2,636,073"
CRM-1531000,$78
CRM-1310400,"$215,119"
CRM-1478200,"$41,578"
CRM-1533750,"$466,426"
CRM-1517500,"$98,652"
CRM-167000,"$1,641,896"
CRM-1461550,"$69,604"
CRM-1509900,"$444,529"
CRM-1511400,"$103,192"
CRM-1492100,"$25,562"
CRM-157450,"$85,730"
CRM-796400,"$190,359,226"
CRM-1100500,"$22,449"
CRM-1500900,"$1,272,192"
CRM-166450,"$47,804"
CRM-1516700,"$3,069,060"
CRM-1484950,$0
CRM-1461800,"$358,086"
CRM-1530150,$0
CRM-1468700,"$258,675"
CRM-879300,$0
CRM-561550,"$610,431"
CRM-615050,"$8,423"
CRM-155950,"$157,920"
CRM-424400,"$13,390"
CRM-547500,"$19,770"
CRM-1447200,"$17,222"
CRM-349000,"$164,066"
CRM-1091300,"$113,737"
CRM-417150,"$76,349"
CRM-424450,"$25,395"
CRM-1485850,"$28,175"
CRM-1534800,"$148,999"
CRM-305050,"$119,288"
CRM-1510000,"$41,637"
CRM-862150,"$60,741"
CRM-1489950,"$50,860"
CRM-182200,"$67,363"
CRM-387600,"$90,496"
CRM-1564450,"$12,475"
CRM-1454650,$0
CRM-1465950,"$1,159"
CRM-1460200,"$6,224,426"
CRM-1456450,"$101,813"
CRM-439300,"$3,422,504"
CRM-1507250,"$52,420"
CRM-1531100,$0
CRM-1485050,"$12,047"
CRM-1441600,$0
CRM-1522100,"$10,224"
CRM-1516350,$0
CRM-1434650,"$27,556"
CRM-1495950,$88
CRM-775950,"$78,013"
CRM-788700,"$291,595"
CRM-1442050,"$885,946"
CRM-1551550,$0
CRM-785300,"$627,139"
CRM-1553850,$0
CRM-1441000,$70
CRM-1542800,$0
CRM-316250,"$20,039,909"
CRM-414650,"$1,072,522"
CRM-1518100,"$489,783"
CRM-1587250,$0
CRM-796050,"$946,382"
CRM-1460350,"$1,946"
CRM-862100,"$8,772"
CRM-714600,"$9,917,571"
CRM-1546750,$0
CRM-185300,"$54,762"
CRM-1510400,"$466,025"
CRM-782950,"$43,709"
CRM-1516250,"$581,783"
CRM-1481950,"$108,738"
CRM-1476350,"$1,509"
CRM-1470150,"$16,823"
CRM-1507950,$48
CRM-1466600,"$4,042,045"
CRM-1538950,"$737,312"
CRM-1525900,"$1,445,612"
CRM-1510300,$0
CRM-1450450,"$145,778"
CRM-1530500,"$123,385"
CRM-1528200,$0
CRM-238550,"$251,528"
CRM-1446250,"$153,001"
CRM-735850,"$59,020"
CRM-1572600,"$13,287"
CRM-763850,"$63,381"
CRM-1505950,"$1,205"
CRM-1437100,"$238,921"
CRM-1528050,"$88,543"
CRM-1586900,$341
CRM-1235500,"$5,429"
CRM-1510150,$0
CRM-1471300,"$243,279"
CRM-1508200,$0
CRM-1479850,"$37,755,859"
CRM-1455100,"$263,651"
CRM-1446500,"$319,650"
CRM-1469300,"$5,554"
CRM-1513900,"$1,545,711"
CRM-1526350,"$439,632"
CRM-511950,"$3,744,287"
CRM-1459400,"$155,333"
CRM-1477650,"$14,652"
CRM-879750,$0
CRM-1544450,$0
CRM-340450,"$28,005,720"
CRM-960300,"$2,166,194"
CRM-1559100,"$472,712"
CRM-589150,"$2,485,587"
CRM-294600,"$791,937"
CRM-280750,"$1,713,507"
CRM-1520950,"$181,080"
CRM-1474250,"$3,630,007"
CRM-1446450,$0
CRM-1510850,"$74,293"
CRM-1203300,$0
CRM-1490250,$0
CRM-1502950,$0
CRM-162100,"$2,455,549"
CRM-1524000,"$7,338"
CRM-338700,$0
CRM-1473900,"$231,831"
CRM-1490900,$0
CRM-1486300,$117
CRM-463400,"$212,182"
CRM-1461500,"$31,716"
CRM-1474350,"$116,175"
CRM-362300,"$47,035"
CRM-692150,"$15,439,998"
CRM-1189650,"$17,451"
CRM-1352350,"$37,019"
CRM-1352250,"$70,479"
CRM-1477700,"$2,058"
CRM-1477750,"$1,488"
CRM-1129750,"$5,172,654"
CRM-1352450,"$61,505"
CRM-1477800,"$6,942"
CRM-1477500,"$2,049"
CRM-1477850,$96
CRM-1352400,"$40,702"
CRM-1477900,$973
CRM-1477550,"$3,181"
CRM-1172200,"$291,608"
CRM-1456250,"$6,756"
CRM-1489600,$0
CRM-667900,$0
CRM-208300,$66
CRM-271600,"$1,378,696"
CRM-645900,$896
CRM-1162550,"$263,215"
CRM-1430500,"$2,797,064"
CRM-1438550,"$7,906,231"
CRM-1442600,"$1,127,507"
CRM-1474600,"$940,814,277"
CRM-1444750,"$9,405"
CRM-1558100,"$257,468"
CRM-1466150,"$53,396"
CRM-1252550,"$78,811,893"
CRM-1470750,"$739,056"
CRM-1486850,"$36,477"
CRM-999900,"$91,602"
CRM-1542650,$239
CRM-1491750,"$202,430"
CRM-1493200,"$68,078"
CRM-1461950,$0
CRM-166250,"$262,212"
CRM-1501150,"$628,610"
CRM-1482250,"$3,477"
CRM-1483100,$0
CRM-1501700,"$890,350"
CRM-1472300,$0
CRM-1501250,"$82,619"
CRM-151150,"$45,076,028"
CRM-778300,"$358,169"
CRM-1478550,"$623,217"
CRM-1522550,"$15,155"
CRM-1446550,"$41,333"
CRM-1462300,"$57,458"
CRM-314750,"$30,689"
CRM-533750,"$25,903"
CRM-1526150,"$11,967"
CRM-1528400,$0
CRM-1493100,"$122,608"
CRM-241450,"$65,150"
CRM-1466450,$8
CRM-1524100,"$3,784,780"
CRM-5600500,"$17,408"
CRM-1525550,$349
CRM-1543200,$0
CRM-777900,"$16,064"
CRM-683100,$199
CRM-229950,$137
CRM-1496700,"$500,522"
CRM-304750,"$15,663"
CRM-806850,$143
CRM-807100,"$2,321"
CRM-152050,"$9,577,678"
CRM-1508250,$0
CRM-1549400,"$59,471"
CRM-1487750,"$86,507"
CRM-627000,"$274,957"
CRM-1450850,"$666,161"
CRM-1482700,"$9,655"
CRM-1518200,"$2,185,928"
CRM-160550,"$602,370"
CRM-338100,$0
CRM-1559150,"$7,723"
CRM-159300,"$81,787"
CRM-1484500,"$908,136"
CRM-1554050,"$10,015"
CRM-166150,"$12,724"
CRM-1558000,"$18,055"
CRM-1473700,"$26,456"
CRM-1472600,"$15,086,447"
CRM-1520050,"$30,102"
CRM-1478050,"$199,729"
CRM-1457050,"$136,923"
CRM-1466200,"$53,229"
CRM-1347050,"$408,486"
CRM-1526650,$0
CRM-1455650,"$503,970"
CRM-1450750,"$357,626"
CRM-1510900,"$55,974"
CRM-1531250,"$38,925"
CRM-661200,$0
CRM-1511350,"$324,922"
CRM-1068750,"$7,045,718"
CRM-1475750,"$165,375"
CRM-1472650,$0
CRM-160150,"$15,785,256"
CRM-1134350,$89
CRM-5603350,$0
CRM-1500650,$579
CRM-1450100,"$22,748"
CRM-1040600,"$1,935,352"
CRM-1030300,"$12,970,625"
CRM-992450,"$722,904"
CRM-1025800,"$135,017"
CRM-792350,"$692,015"
CRM-711000,"$1,204,081"
CRM-1047150,"$786,240"
CRM-832650,"$534,334"
CRM-1489750,"$2,754,474"
CRM-332050,"$19,836"
CRM-1564700,"$36,321"
CRM-1262600,"$146,439"
CRM-157750,$11
CRM-463450,$19
CRM-1452700,$0
CRM-189700,$0
CRM-1492600,"$454,290"
CRM-1525000,"$8,542,885"
CRM-156650,"$65,366"
CRM-1536400,$9
CRM-1516900,"$21,450"
CRM-314850,"$25,912"
CRM-1525950,$0
CRM-812200,$337
CRM-1006000,$0
CRM-244800,"$686,556,466"
CRM-1032150,$0
CRM-156400,"$2,154"
CRM-1469800,"$36,309"
CRM-1494650,"$196,965"
CRM-1459550,"$31,597"
CRM-703000,"$4,907"
CRM-156000,"$107,634"
CRM-424350,"$52,648"
CRM-547450,"$52,081"
CRM-1293150,"$117,443"
CRM-1447350,"$10,440"
CRM-291650,"$205,358"
CRM-1091250,"$991,046"
CRM-1447700,"$91,469"
CRM-417200,"$121,092"
CRM-424300,"$34,378"
CRM-1485800,"$16,184"
CRM-467000,"$242,589"
CRM-462250,"$51,428"
CRM-166400,"$22,307"
CRM-1446600,"$24,907,978"
CRM-1501050,"$23,679"
CRM-1359000,"$3,138"
CRM-1160900,"$186,833"
CRM-768850,"$200,267"
CRM-1464200,"$14,779"
CRM-1499350,$876
CRM-1496100,$0
CRM-1496150,$0
CRM-1496200,$0
CRM-1496350,$0
CRM-1493150,$0
CRM-1496750,$0
CRM-1530650,"$262,663"
CRM-271550,"$966,196"
CRM-1468300,$0
CRM-606600,"$24,942"
CRM-1510600,"$1,482,304"
CRM-158250,"$923,499"
CRM-955850,$0
CRM-1283250,"$5,506,495"
CRM-1500700,"$26,476"
CRM-1482400,"$7,825"
CRM-1443200,"$79,251"
CRM-160000,"$560,677,689"
CRM-169100,"$36,947,374"
CRM-1435350,$0
CRM-1495850,"$379,417"
CRM-1495900,"$785,300"
CRM-1483450,"$1,396,631"
CRM-362650,"$539,003"
CRM-1513950,"$1,699,750"
CRM-1473400,$0
CRM-230450,"$218,966"
CRM-1507850,"$6,757"
CRM-331650,$0
CRM-1279700,"$93,357"
CRM-381600,$94
CRM-1508050,"$53,557,059"
CRM-1479600,"$4,415,709"
CRM-1477300,"$848,994"
CRM-1357850,"$47,549"
CRM-1493500,"$316,599"
CRM-1496850,"$496,785"
CRM-1179100,"$44,437"
CRM-398000,"$28,692,729"
CRM-1488600,"$10,471"
CRM-1465150,"$269,080"
CRM-1507400,$0
CRM-1529600,"$4,151,571"
CRM-1544800,"$177,112"
CRM-1573500,"$7,442,721"
CRM-1559200,"$67,136"
CRM-1577100,"$65,210"
CRM-1538600,"$285,218"
CRM-1562000,$0
CRM-1451700,"$1,380,898"
CRM-888350,"$25,800"
CRM-1453800,"$1,028"
CRM-1476500,"$15,059"
CRM-1503750,"$27,497"
CRM-1503800,"$1,009,460"
CRM-1503100,"$747,698"
CRM-1503850,"$103,018"
CRM-1472500,"$58,140"
CRM-1460750,$0
CRM-1508300,$0
CRM-1454600,"$157,227,792"
CRM-1500000,"$42,724"
CRM-1508100,$505
CRM-795950,"$219,550"
CRM-1446350,$0
CRM-1446100,"$7,886"
CRM-673950,"$402,101"
CRM-1544350,"$123,577"
CRM-1494600,$0
CRM-1480750,"$717,065"
CRM-1597300,$0
CRM-1317050,"$47,013,142"
CRM-222250,$0
CRM-1520800,$15
CRM-950450,$452
CRM-1435500,$0
CRM-1444350,"$399,992"
CRM-1565550,$0
CRM-434600,"$888,760"
CRM-1010150,"$12,272"
CRM-1499950,$0
CRM-1513100,$486
CRM-160500,$0
CRM-160450,$0
CRM-1454750,"$698,639"
CRM-241400,"$64,595"
CRM-530450,"$1,140,332"
CRM-1471850,$0
CRM-264900,"$4,381"
CRM-237600,"$1,277,751"
CRM-1478450,"$19,350"
CRM-1485100,"$314,422"
CRM-268550,"$318,213"
CRM-1476950,"$17,954"
CRM-1477000,"$113,774"
CRM-1477050,"$24,832"
CRM-1442450,$173
CRM-1443550,$0
CRM-660400,"$133,820"
CRM-1565600,"$41,141"
CRM-361800,"$305,735"
CRM-1479100,$0
CRM-1455200,"$483,141"
CRM-272600,"$7,221"
CRM-1091150,"$2,938,221"
CRM-166300,"$241,136"
CRM-1538350,"$447,676"
CRM-1456900,"$26,262"
CRM-1585400,"$4,784"
CRM-712600,"$403,512"
CRM-1560700,$0
CRM-1484600,"$64,764,238"
CRM-1490950,"$22,766"
CRM-1491000,"$22,766"
CRM-1473000,"$23,698"
CRM-1194100,"$38,658"
CRM-173800,$235
CRM-571300,$0
CRM-1443150,"$260,038"
CRM-563450,"$252,667"
CRM-1502200,"$7,536"
CRM-1453500,"$38,086"
CRM-1517250,"$14,166"
CRM-1517300,"$5,518"
CRM-1511100,"$97,866"
CRM-1468900,"$197,928"
CRM-1459300,"$290,338"
CRM-1450300,"$1,761,018"
CRM-1444400,"$2,863,136"
CRM-1482650,"$28,119"
CRM-1393900,"$484,648"
CRM-1580700,$0
CRM-912150,"$241,016"
CRM-1291050,"$76,883"
CRM-1560050,"$122,922"
CRM-317450,$0
CRM-1460300,"$22,935,694"
CRM-1500150,"$4,784,639"
CRM-1442150,"$1,801,813"
CRM-621600,$0
CRM-1531150,$0
CRM-1503450,"$10,573"
CRM-1476600,"$28,771"
CRM-248500,$97
CRM-1516600,"$259,586"
CRM-1538000,"$550,877"
CRM-1495000,"$1,555,388"
CRM-1082550,"$124,855"
CRM-1538100,"$117,848"
CRM-1517850,$0
CRM-1478700,$0
CRM-1478750,$0
CRM-1030400,"$4,077"
CRM-920750,"$275,970"
CRM-1483000,"$13,060"
CRM-1544850,"$4,062"
CRM-5602050,$0
CRM-1457950,"$21,328,922"
CRM-166200,$0
CRM-1469550,"$160,273"
CRM-1461200,$45
CRM-1526800,"$451,217"
CRM-1509150,"$119,853"
CRM-1459450,"$2,230,194"
CRM-1459500,"$3,972,378"
CRM-1443100,"$1,572,906"
CRM-1499750,$0
CRM-730800,$0
CRM-1461450,"$1,143,413"
CRM-1586700,"$43,541"
CRM-1206050,"$100,256"
CRM-1471900,$0
CRM-1481350,$0
CRM-1481300,$0
CRM-1454150,"$144,543"
CRM-1526200,"$27,056"
CRM-1466250,"$75,202"
CRM-1131850,"$80,947"
CRM-726400,"$302,764"
CRM-859900,"$722,243"
CRM-1530400,$54
CRM-470750,"$48,624"
CRM-1517350,$0
CRM-1486050,"$1,806,546"
CRM-1549550,"$35,804"
CRM-1506000,"$740,262,304"
CRM-1506050,"$91,677"
CRM-1506100,"$45,727"
CRM-1511600,"$179,420"
CRM-1506200,"$227,445"
CRM-1506250,"$149,736"
CRM-1506300,"$1,465"
CRM-1005900,"$2,690,946"
CRM-957900,"$26,088,378"
CRM-1473950,"$25,560"
CRM-1552700,"$915,558"
CRM-1473450,"$122,333"
CRM-1473550,"$362,184"
CRM-902900,"$684,981"
CRM-1474000,"$187,862"
CRM-1473600,"$511,874"
CRM-1474050,"$30,060"
CRM-1473650,"$256,250"
CRM-419600,$0
CRM-322550,"$3,349,139"
CRM-619650,"$581,363"
CRM-1461250,"$79,631"
CRM-1511250,"$267,137"
CRM-726750,"$127,618,032"
CRM-1486150,"$837,187"
CRM-1537450,"$38,007"
CRM-1569600,$0
CRM-1499650,"$151,075"
CRM-1488950,"$571,797"
CRM-1517750,$0
CRM-291050,$0
CRM-1090300,"$477,534"
CRM-1479000,"$5,530,741"
CRM-1470800,"$9,789"
CRM-774850,$344
CRM-1537600,"$38,126"
CRM-661350,"$631,798"
CRM-1494700,$0
CRM-243550,$0
CRM-1086200,$0
CRM-151450,"$10,549"
CRM-1476650,"$2,254"
CRM-1498700,"$2,571"
CRM-161600,"$820,964,397"
CRM-1471950,$0
CRM-1172250,"$402,543"
CRM-1364950,"$73,520"
CRM-1595750,"$178,139"
CRM-1462000,"$70,291,060"
CRM-1537150,"$1,725,930"
CRM-1454450,"$4,071,357"
CRM-531300,"$65,438"
CRM-1537850,$222
CRM-1518300,"$1,572"
CRM-1544950,$58
CRM-1301500,"$185,685"
CRM-1500050,"$6,528"
CRM-1457250,$0
CRM-1494250,"$33,260,302"
CRM-1496500,"$2,125,901"
CRM-1554900,"$50,602"
CRM-156950,"$287,688"
CRM-153750,"$5,364,006"
CRM-1509650,"$59,766"
CRM-1559250,"$876,165"
CRM-1561300,"$876,165"
CRM-1480950,"$149,015"
CRM-1460500,$4
CRM-1482200,"$197,538"
CRM-1586950,$0
CRM-1466300,"$344,147"
CRM-1466350,"$60,402"
CRM-1485150,"$321,362"
CRM-1172550,"$252,667"
CRM-1456300,"$10,795"
CRM-1526750,$72
CRM-153600,$0
CRM-1478400,"$92,811,726"
CRM-530100,"$2,665,856"
CRM-1485300,"$12,274,900"
CRM-1469250,$0
CRM-993250,"$402,943"
CRM-1373400,"$102,856"
CRM-1510550,"$401,707"
CRM-1511300,"$82,065"
CRM-1490500,$17
CRM-156700,"$29,853"
CRM-1199150,$0
CRM-1489900,"$4,634"
CRM-1473850,"$3,238,936"
CRM-1573600,"$15,761"
CRM-1491100,"$830,731"
CRM-1526050,$0
CRM-1453250,"$395,540"
CRM-1462250,"$11,014,156"
CRM-1370150,$0
CRM-176450,"$472,123"
CRM-157000,"$236,737"
CRM-1521150,"$146,656"
CRM-165750,"$23,801"
CRM-1525250,$0
CRM-1520550,$0
CRM-1585350,$0
CRM-164850,"$84,637"
CRM-1474200,"$556,527"
CRM-1538750,$5
CRM-606900,"$2,723,950"
CRM-983600,"$1,381,589"
CRM-1534700,"$117,349"
CRM-1513550,$0
CRM-1482500,"$8,954"
CRM-1482550,"$396,088"
CRM-1467650,"$2,681,650"
CRM-1513650,$463
CRM-1130700,"$858,074"
CRM-1130750,"$109,631"
CRM-499900,"$113,406,378"
CRM-1444700,"$5,341,039"
CRM-1460700,"$1,645,395"
CRM-276400,"$13,222"
CRM-1542550,"$30,979"
CRM-1172500,"$56,655"
CRM-1469950,"$51,238"
CRM-1470050,"$231,781"
CRM-1499000,"$697,895"
CRM-5602400,$0
CRM-1503000,"$21,601,433"
CRM-1535650,"$36,118"
CRM-169050,"$2,073"
CRM-1445750,"$181,662"
CRM-160300,$146
CRM-1477350,"$72,836"
CRM-463500,$0
CRM-1548400,"$37,212"
CRM-1459100,$0
CRM-1544750,"$491,573"
CRM-1493300,"$631,883"
CRM-631850,$0
CRM-1449400,"$40,541"
CRM-172100,"$5,227,988"
CRM-1512550,$2
CRM-166750,$797
CRM-1496550,"$77,141"
CRM-1586750,$0
CRM-166350,"$83,296"
CRM-1528100,"$118,629,839"
CRM-1495500,"$142,364"
CRM-1493550,"$153,247"
CRM-615000,$901
CRM-1514000,$0
CRM-1489800,"$2,088"
CRM-1478500,"$7,584,396"
CRM-1529250,$492
CRM-1542150,$0
CRM-1542100,$0
CRM-1172300,"$116,859"
CRM-1364800,"$38,170"
CRM-1449550,$0
CRM-1455300,"$11,128,158"
CRM-1437300,"$29,177"
CRM-1527250,"$253,116"
CRM-1414900,"$18,863"
CRM-1028200,"$129,752"
CRM-289850,"$1,438,623,448"
CRM-916650,$0
CRM-1280600,"$4,154"
CRM-1553900,"$87,099"
CRM-1464000,"$1,562,270"
CRM-1453900,"$14,431,001"
CRM-1541850,$0
CRM-1451200,"$281,382"
CRM-203250,$0
CRM-1539150,"$42,254"
CRM-1551800,"$24,471,441"
CRM-1492800,"$2,708,420"
CRM-1484000,"$91,264"
CRM-1543550,"$80,484"
CRM-1581100,$0
CRM-394200,"$1,663,217"
CRM-626250,"$3,451,604"
CRM-590150,"$70,653"
CRM-617450,"$30,414,659"
CRM-608250,"$1,802,794"
CRM-1536450,$0
CRM-714500,"$597,498"
CRM-652450,"$38,258"
CRM-1557700,"$56,241"
CRM-1492950,"$45,226,966"
CRM-1500350,$0
CRM-1511200,$0
CRM-266200,"$31,253"
CRM-949800,"$277,202"
CRM-1496600,"$138,844"
CRM-1500800,$585
CRM-1496300,"$328,415"
CRM-1577200,$0
CRM-1482000,"$157,983"
CRM-1542300,$0
CRM-277650,"$171,251"
CRM-1490750,"$91,559"
CRM-1607800,"$8,575"
CRM-1531550,"$46,127"
CRM-830700,$0
CRM-833950,"$609,401"
CRM-783450,"$16,527"
CRM-1500500,$0
CRM-155450,"$567,026"
CRM-1499600,"$15,967,518"
CRM-1451550,"$30,478"
