Customer ID,Region,Vertical,Subvertical
CRM-759650,Thailand,Retail,Sports
CRM-1097250,Taiwan,Retail,Fashion Retailer
CRM-1454500,Thailand,Retail,Sports
CRM-165900,Turkey,Retail,Fashion Retailer
CRM-1489200,Indonesia,Finance,"Credit, Loans and P2P"
CRM-1489100,Indonesia,Finance,"Credit, Loans and P2P"
CRM-1589350,United Kingdom,Financial Services,Insurance
#N/A,Turkey,N/A,N/A
CRM-1396700,Turkey,Retail,Home and Furniture
CRM-957200,Australia,Retail,Cosmetics
CRM-527200,Thailand,Retail,Consumer Electronics
CRM-332600,Turkey,Finance,Insurance
CRM-383850,Vietnam,Retail,Marketplace
CRM-1520400,United States,Other,N/A
CRM-1517150,United States,N/A,Jewelry and Accessories
CRM-205000,Turkey,Travel,Online Travel Agency (OTA)
CRM-1520650,Brazil,Career and Education,Education and Universities
CRM-1464300,Turkey,Finance,Investment
CRM-1578950,Korea,Retail,Cosmetics
CRM-1253400,Singapore,Internet and Telecom,Internet and Telecom
CRM-150500,MENA,Travel,Airlines and Airports
CRM-835900,Russia,Travel,Airlines and Airports
CRM-152900,CEE,Travel,Airlines and Airports
CRM-1551100,Taiwan,Retail,Fashion Retailer
CRM-1554650,MENA,N/A,N/A
CRM-1575550,Taiwan,Retail,Fashion Retailer
CRM-1492900,Turkey,B2B Commerce,B2B Commerce
CRM-1523550,Turkey,Finance,N/A
CRM-1161800,Korea,Retail,Marketplace
CRM-5612650,Turkey,N/A,N/A
CRM-1467350,Turkey,Other,N/A
CRM-183300,Turkey,Finance,Insurance
CRM-1478900,Indonesia,Finance,"Credit, Loans and P2P"
CRM-176700,MENA,Media and Publishing,Newspapers and Magazines
CRM-1160350,MENA,Retail,Pharmaceuticals
CRM-350250,Turkey,Retail,Shoes
CRM-1497450,Vietnam,Retail,Fashion Retailer
CRM-158950,Turkey,Automotive,Automotive
CRM-335250,MENA,Automotive,Automotive
CRM-1464800,South Cone,B2B Commerce,B2B Commerce
CRM-1500850,South Cone,B2B Commerce,B2B Commerce
CRM-1458050,Turkey,Retail,Marketplace
CRM-690000,Turkey,Automotive,Automotive
CRM-1489700,MENA,Retail,Fashion Retailer
CRM-1456200,South Cone,Retail,Pharmaceuticals
CRM-1485400,Japan,Media and Publishing,Newspapers and Magazines
CRM-703550,United Kingdom,Finance,Insurance
CRM-534000,Turkey,Retail,Modest Fashion
CRM-154450,CEE,Retail,Marketplace
CRM-1481250,Malaysia,Finance,Banking
CRM-159850,Turkey,Financial Services,Insurance
CRM-1570500,Indonesia,Finance,Banking
CRM-175100,MENA,Travel,Online Travel Agency (OTA)
CRM-1491900,Indonesia,Healthcare,Pharmaceuticals
CRM-387950,MENA,Healthcare,Hospital and Dentistry
CRM-159150,Turkey,Retail,Fashion Retailer
CRM-1455350,MENA,Retail,Consumer Electronics
CRM-1489250,Indonesia,Finance,"Credit, Loans and P2P"
CRM-1516200,Indonesia,B2B SaaS,B2B SaaS
CRM-1445650,Taiwan,Career and Education,Education and Universities
CRM-1573650,Vietnam,Retail,Fashion Retailer
CRM-1589700,South Cone,Retail,Fashion Retailer
CRM-1528550,Turkey,Healthcare,Hospital and Dentistry
CRM-706700,Indonesia,Other,Other
CRM-1489400,Thailand,Retail,Marketplace
CRM-1501100,Taiwan,Retail,Consumer Electronics
CRM-1559050,Australia,Retail,Home and Furniture
CRM-1545050,Thailand,Real Estate,Real Estate
CRM-1497250,United States,Retail,Fashion Retailer
CRM-1528350,MENA,Financial Services,Banking
CRM-1534600,Turkey,Other,Other
CRM-1481050,Malaysia,Healthcare,Pharmaceuticals
CRM-1481600,Malaysia,Healthcare,Pharmaceuticals
CRM-845700,Thailand,Retail,Fashion Retailer
CRM-1510450,United States,Retail,Jewelry and Accessories
CRM-1559300,Brazil,Other,Other
CRM-570900,Turkey,Retail,Fashion Retailer
CRM-1469000,MENA,Retail,Fashion Retailer
CRM-476900,Malaysia,Travel,Hotels and Accommodation
CRM-1481750,Philippines,Retail,Consumer Electronics
CRM-168600,CEE,Retail,Fashion Retailer
CRM-309400,CEE,Retail,Fashion Retailer
CRM-152150,CEE,Retail,Fashion Retailer
CRM-175150,CEE,Retail,Fashion Retailer
CRM-175250,CEE,Retail,Fashion Retailer
CRM-175200,CEE,Retail,Fashion Retailer
CRM-706750,Indonesia,Restaurants and Delivery,Restaurants and Delivery
CRM-1511700,United States,Retail,Fashion Retailer
CRM-1442100,Taiwan,Career and Education,Education and Universities
CRM-1607850,MENA,N/A,N/A
CRM-1605500,Brazil,Ebetting and Lottery,Ebetting and Lottery
CRM-1575050,Spain,Real Estate,Real Estate
CRM-783250,CEE,Retail,Cosmetics
CRM-1328050,Taiwan,Retail,Fashion Retailer
CRM-1450800,Australia,Retail,Fashion Retailer
CRM-372100,Turkey,Automotive,Automotive
CRM-1515900,Turkey,Restaurants and Delivery,Restaurants and Delivery
CRM-1493700,MENA,Transportation and Logistics,Transportation and Logistics
CRM-1494100,Turkey,Restaurants and Delivery,Restaurants and Delivery
CRM-160250,Turkey,Retail,Home Appliances
CRM-259600,Vietnam,Automotive,Automotive
CRM-1454050,Turkey,Retail,Fashion Retailer
CRM-1460950,France,N/A,N/A
CRM-157650,Turkey,Retail,Home and Furniture
CRM-1460000,France,Retail,Home and Furniture
CRM-1487700,MENA,Finance,"Credit, Loans and P2P"
CRM-397600,Singapore,Media and Publishing,Content Websites
CRM-401300,Turkey,B2B Commerce,B2B Commerce
CRM-927800,Turkey,Non Profit Organizations,Pharmaceuticals
CRM-552650,Japan,Retail,Entertainment and Ticketing
CRM-609850,Taiwan,Retail,Shoes
CRM-1567800,France,Retail,Fashion Retailer
CRM-1538850,United Kingdom,Retail,Jewelry and Accessories
CRM-385900,Indonesia,Finance,"Credit, Loans and P2P"
CRM-552600,Malaysia,Media and Publishing,Newspapers and Magazines
CRM-161850,Malaysia,Retail,Marketplace
CRM-1496400,CEE,Retail,Cosmetics
CRM-387200,Turkey,Retail,Jewelry and Accessories
CRM-1441150,Turkey,Retail,Cosmetics
CRM-1577150,United States,Retail,N/A
CRM-165050,Turkey,Travel,Airlines and Airports
CRM-1459850,Turkey,Media and Publishing,Content Websites
CRM-1560950,France,Other,Other
CRM-1497750,Malaysia,Media and Publishing,Content Websites
CRM-796350,Japan,Media and Publishing,Newspapers and Magazines
CRM-1507050,Singapore,Retail,Fashion Retailer
CRM-1507100,Singapore,Retail,Fashion Retailer
CRM-1507150,Singapore,Retail,Jewelry and Accessories
CRM-1056600,Australia,Retail,Cosmetics
CRM-1437150,Indonesia,Automotive,Automotive
CRM-1502300,Brazil,Finance,Insurance
CRM-268900,MENA,Automotive,Automotive
CRM-175300,Turkey,Retail,Cosmetics
CRM-1600450,CEE,Retail,Cosmetics
CRM-1077950,CEE,Retail,Cosmetics
CRM-1077850,CEE,Retail,Cosmetics
CRM-908950,CEE,Retail,Cosmetics
CRM-1078000,CEE,Retail,Cosmetics
CRM-1515050,Turkey,Healthcare,Pharmaceuticals
CRM-1031550,Russia,Travel,Online Travel Agency (OTA)
CRM-175350,Turkey,Automotive,Automotive
CRM-166100,Turkey,Retail,Cosmetics
CRM-1250100,MENA,Retail,Cosmetics
CRM-320250,MENA,Retail,Cosmetics
CRM-505000,MENA,Retail,Cosmetics
CRM-320200,MENA,Retail,Cosmetics
CRM-1272750,MENA,Retail,Cosmetics
CRM-753900,Turkey,Retail,Fashion Retailer
CRM-150550,MENA,Retail,Marketplace
CRM-1475550,Turkey,Finance,Insurance
CRM-277800,Turkey,Finance,Insurance
CRM-166050,Turkey,Retail,Shoes
CRM-1436600,Turkey,Finance,Insurance
CRM-1497650,Thailand,Retail,Book Retailers
CRM-1481550,United Kingdom,Retail,Fitness
CRM-162250,Malaysia,Retail,Kids Fashion
CRM-1063550,Taiwan,Retail,Cosmetics
CRM-1487650,South Cone,Retail,Animal Products
CRM-1430050,Turkey,Healthcare,Pharmaceuticals
CRM-793200,United Kingdom,Other,Other
CRM-1466100,MENA,Transportation and Logistics,Transportation and Logistics
CRM-5604300,Spain,N/A,N/A
CRM-334000,Korea,Retail,Fashion Retailer
CRM-1019500,Vietnam,Travel,Airlines and Airports
CRM-378850,Turkey,Retail,Entertainment and Ticketing
CRM-1503950,Spain,Retail,Home and Furniture
CRM-1079000,Thailand,Retail,Consumer Electronics
CRM-1453650,Thailand,Media and Publishing,Newspapers and Magazines
CRM-1468100,Russia,Finance,Banking
CRM-317600,Russia,Finance,"Credit, Loans and P2P"
CRM-1598950,France,Other,Other
CRM-1201450,MENA,Restaurants and Delivery,Restaurants and Delivery
CRM-329450,Turkey,Retail,Sports
CRM-703450,Turkey,Travel,Hotels and Accommodation
CRM-703500,Turkey,Travel,Hotels and Accommodation
CRM-703400,Turkey,Travel,Hotels and Accommodation
CRM-1501200,Turkey,Retail,Entertainment and Ticketing
CRM-550150,Vietnam,Other,Other
CRM-1324000,Turkey,Retail,Home and Furniture
CRM-370200,Turkey,Retail,Construction
CRM-847750,CEE,Retail,Home and Furniture
CRM-1516450,Taiwan,Retail,Fashion Retailer
CRM-180400,MENA,Career and Education,Jobs and Employment
CRM-828400,Thailand,Media and Publishing,Content Websites
CRM-1281200,Indonesia,Finance,Banking
CRM-1492050,Indonesia,Finance,"Credit, Loans and P2P"
CRM-1468800,Indonesia,Finance,"Credit, Loans and P2P"
CRM-1234250,Australia,Retail,Sports
CRM-152400,CEE,Other,Other
CRM-565500,Vietnam,Automotive,Automotive
CRM-1103750,Australia,Retail,Home and Furniture
CRM-1511150,Turkey,Healthcare,Pharmaceuticals
CRM-5604250,United Kingdom,N/A,N/A
CRM-1056650,Australia,Retail,Cosmetics
CRM-732750,Turkey,Retail,Kids Fashion
CRM-1498300,Philippines,Other,Other
CRM-1474750,MENA,Media and Publishing,Content Websites
CRM-927750,Turkey,Retail,Pharmaceuticals
CRM-1043250,Vietnam,Retail,Supermarket Chains
CRM-1565050,Turkey,Finance,Investment
CRM-927700,Turkey,Retail,Pharmaceuticals
CRM-1485950,Spain,Retail,Consumer Electronics
CRM-1573900,Brazil,Finance,Banking
CRM-1446950,MENA,Retail,Cosmetics
CRM-160200,Turkey,Retail,Home Appliances
CRM-5600750,Benelux,N/A,N/A
CRM-583300,Indonesia,Automotive,Automotive
CRM-276350,Turkey,Retail,Home and Furniture
CRM-1444600,Philippines,Healthcare,Hospital and Dentistry
CRM-1516850,Mexico,Retail,Fashion Retailer
CRM-1521100,Mexico,Retail,Fashion Retailer
CRM-230500,Turkey,Retail,Fashion Retailer
CRM-1088650,United Kingdom,Retail,Home and Furniture
CRM-236800,Malaysia,Travel,Hotels and Accommodation
CRM-547850,Turkey,Retail,Home and Furniture
CRM-163250,Indonesia,Retail,Fashion Retailer
CRM-674700,Vietnam,Travel,Online Travel Agency (OTA)
CRM-224800,Japan,Travel,Hotels and Accommodation
CRM-247350,Turkey,Retail,Shoes
CRM-1471500,Turkey,Ebetting and Lottery,Ebetting and Lottery
CRM-1531900,Turkey,Restaurants and Delivery,Restaurants and Delivery
CRM-158900,Turkey,Retail,Fashion Retailer
CRM-1479450,Brazil,Retail,Cosmetics
CRM-1484900,Vietnam,Retail,Home and Furniture
CRM-1529500,Turkey,Retail,Fashion Retailer
CRM-1280200,Turkey,Retail,Kids Fashion
CRM-346400,Malaysia,Media and Publishing,Newspapers and Magazines
CRM-224850,Indonesia,Retail,Consumer Electronics
CRM-273900,CEE,Retail,Fashion Retailer
CRM-701050,MENA,Classifieds,Marketplace
CRM-156550,Turkey,Retail,Home and Furniture
CRM-547900,Turkey,Retail,Home and Furniture
CRM-312300,CEE,Finance,"Credit, Loans and P2P"
CRM-1149100,Thailand,Retail,Supermarket Chains
CRM-312250,CEE,Finance,"Credit, Loans and P2P"
CRM-440800,Turkey,Automotive,Automotive
CRM-498000,Korea,Retail,Fashion Retailer
CRM-531400,Turkey,Restaurants and Delivery,Restaurants and Delivery
CRM-1539250,Turkey,Travel,N/A
CRM-1509600,Turkey,Retail,Entertainment and Ticketing
CRM-165100,Turkey,Retail,Entertainment and Ticketing
CRM-199700,Turkey,Ebetting and Lottery,Ebetting and Lottery
CRM-1493400,MENA,Finance,Insurance
CRM-1560800,Turkey,Other,Other
CRM-834200,Indonesia,Career and Education,Education and Universities
CRM-1261350,Indonesia,Career and Education,Education and Universities
CRM-1568050,Indonesia,Finance,Investment
CRM-166650,Turkey,Other,Other
CRM-1517050,MENA,Retail,Fashion Retailer
CRM-234900,Turkey,Automotive,Automotive
CRM-1541700,Turkey,Finance,Investment
CRM-1539300,Turkey,Finance,Investment
CRM-1539350,Turkey,Finance,Investment
CRM-1486250,Turkey,Retail,Supermarket Chains
CRM-1177150,Turkey,Media and Publishing,Content Websites
CRM-578400,Turkey,Retail,Supermarket Chains
CRM-1552200,Australia,Retail,Fashion Retailer
CRM-1326000,MENA,Retail,Consumer Electronics
CRM-156350,Turkey,Retail,Fashion Retailer
CRM-155350,Indonesia,Retail,Marketplace
CRM-1600300,Turkey,Retail,Construction
CRM-1449100,Turkey,Media and Publishing,Newspapers and Magazines
CRM-1588050,Malaysia,Retail,Flowers
CRM-427350,Indonesia,Transportation and Logistics,Transportation and Logistics
CRM-467600,Russia,Automotive,Automotive
CRM-507000,Vietnam,Retail,Toys
CRM-155850,Turkey,Retail,Cosmetics
CRM-547550,CEE,Retail,Cosmetics
CRM-513750,CEE,Retail,Cosmetics
CRM-1552950,CEE,Retail,Cosmetics
CRM-349050,CEE,Retail,Cosmetics
CRM-1479200,Indonesia,Travel,Hotels and Accommodation
CRM-1465300,Spain,Retail,Fashion Retailer
CRM-1233700,Singapore,Retail,Fitness
CRM-1290050,Indonesia,Retail,Cosmetics
CRM-237150,Malaysia,Retail,Cosmetics
CRM-635850,Taiwan,Retail,Fitness
CRM-1478100,United Kingdom,Career and Education,Education and Universities
CRM-1521050,Mexico,Retail,Fashion Retailer
CRM-174350,Turkey,Retail,Shoes
CRM-1606400,Turkey,Retail,N/A
CRM-1456350,United Kingdom,Retail,Book Retailers
CRM-558200,Australia,Retail,Book Retailers
CRM-1467050,MENA,Finance,"Credit, Loans and P2P"
CRM-1456050,CEE,Retail,Fashion Retailer
CRM-1476450,Turkey,Transportation and Logistics,Transportation and Logistics
CRM-1476150,Turkey,Automotive,Automotive
CRM-672900,Vietnam,Retail,Fashion Retailer
CRM-1585500,Australia,Real Estate,Real Estate
CRM-739750,MENA,Transportation and Logistics,Transportation and Logistics
CRM-158850,Turkey,Retail,Fashion Retailer
CRM-1467900,United Kingdom,Retail,Fashion Retailer
CRM-1584400,Australia,Retail,Fashion Retailer
CRM-1506750,MENA,Retail,Marketplace
CRM-245150,Turkey,Retail,Fashion Retailer
CRM-1456500,Thailand,Healthcare,Pharmaceuticals
CRM-150950,MENA,Retail,Fashion Retailer
CRM-986100,Taiwan,Retail,Pharmaceuticals
CRM-1502900,Turkey,Retail,Consumer Electronics
CRM-1441450,United Kingdom,Retail,Jewelry and Accessories
CRM-1495550,Benelux,Retail,Fashion Retailer
CRM-561350,Russia,Ebetting and Lottery,Ebetting and Lottery
CRM-152700,CEE,Other,Other
CRM-153000,Russia,Retail,Jewelry and Accessories
CRM-1514550,Benelux,B2B Commerce,B2B Commerce
CRM-751350,Turkey,Retail,Fashion Retailer
CRM-1441700,Turkey,Finance,Investment
CRM-907950,Turkey,Finance,Investment
CRM-404250,MENA,Retail,Consumer Electronics
CRM-1493050,Taiwan,Retail,Fashion Retailer
CRM-166000,Turkey,Travel,Car Rentals
CRM-1494150,United Kingdom,Retail,N/A
CRM-1456750,MENA,Retail,Home and Furniture
CRM-304350,Indonesia,Retail,Marketplace
CRM-1497800,Malaysia,Media and Publishing,Content Websites
CRM-270200,Turkey,Automotive,Automotive
CRM-1456650,Thailand,Healthcare,Hospital and Dentistry
CRM-1475350,Korea,Retail,Marketplace
CRM-337900,Turkey,Finance,Banking
CRM-1483500,Taiwan,Restaurants and Delivery,Restaurants and Delivery
CRM-499600,Russia,Restaurants and Delivery,Restaurants and Delivery
CRM-1485650,Thailand,Retail,Sports
CRM-1188300,Singapore,Retail,Supermarket Chains
CRM-5608700,South Cone,N/A,N/A
CRM-608550,Turkey,Retail,Shoes
CRM-1580550,United States,Other,N/A
CRM-1494000,Australia,Restaurants and Delivery,Restaurants and Delivery
CRM-1456800,United Kingdom,Retail,Fashion Retailer
CRM-1465200,Indonesia,Internet and Telecom,Internet and Telecom
CRM-734450,Turkey,Retail,Fashion Retailer
CRM-1267350,CEE,Retail,Cosmetics
CRM-1267450,CEE,Retail,Cosmetics
CRM-1267400,CEE,Retail,Cosmetics
CRM-1569700,CEE,Retail,Cosmetics
CRM-1569750,CEE,Retail,Cosmetics
CRM-1468200,Turkey,Gaming,Gaming
CRM-1535100,MENA,Restaurants and Delivery,Restaurants and Delivery
CRM-1487450,Brazil,Retail,Home and Furniture
CRM-198350,Turkey,Retail,Fashion Retailer
CRM-1464150,MENA,Other,Other
CRM-1102150,Indonesia,Career and Education,Education and Universities
CRM-1579000,Korea,Travel,Online Travel Agency (OTA)
CRM-1502250,Spain,Retail,Shoes
CRM-1480550,Indonesia,Other,Other
CRM-594300,Indonesia,Other,Other
CRM-1492200,Russia,N/A,N/A
CRM-1569550,United States,Automotive,Automotive
CRM-1521500,Benelux,Gaming,Gaming
CRM-331350,Singapore,Retail,Marketplace
CRM-503800,Turkey,Retail,Supermarket Chains
CRM-329000,Taiwan,Retail,Supermarket Chains
CRM-1437350,Turkey,Retail,Kids Fashion
CRM-1519950,Brazil,Retail,Fashion Retailer
CRM-1601250,Turkey,Other,Other
CRM-1460150,Brazil,Retail,Marketplace
CRM-1471550,Hong Kong,Retail,Consumer Electronics
CRM-1481850,Turkey,Retail,Consumer Electronics
CRM-1478150,Japan,Retail,Home and Furniture
CRM-476500,Malaysia,Travel,Hotels and Accommodation
CRM-343000,Turkey,Retail,Fashion Retailer
CRM-596050,Australia,Retail,Marketplace
CRM-304800,Turkey,Retail,Fashion Retailer
CRM-1480600,Indonesia,Other,Other
CRM-1510950,Korea,Internet and Telecom,Internet and Telecom
CRM-591000,Vietnam,Retail,Consumer Electronics
CRM-927200,Thailand,Retail,Marketplace
CRM-1446750,Thailand,Retail,Supermarket Chains
CRM-160100,Turkey,Finance,Banking
CRM-5617700,Turkey,Automotive,Automotive
CRM-422800,Turkey,Retail,Fashion Retailer
CRM-382950,Turkey,Retail,Home and Furniture
CRM-940500,Turkey,Retail,Home and Furniture
CRM-1517800,France,Other,Other
CRM-923850,Singapore,Retail,Fashion Retailer
CRM-1587550,Brazil,Real Estate,Real Estate
CRM-1466750,Taiwan,Retail,Fashion Retailer
CRM-1359600,Taiwan,Retail,Other
CRM-556900,Australia,Retail,Cosmetics
CRM-183400,Turkey,Media and Publishing,Content Websites
CRM-1488700,Taiwan,Other,Other
CRM-1559500,South Cone,Retail,Fashion Retailer
CRM-1530950,Turkey,Retail,Kids Fashion
CRM-1496900,Brazil,Retail,Fashion Retailer
CRM-879150,Turkey,B2B Commerce,B2B Commerce
CRM-1442200,Vietnam,Automotive,Automotive
CRM-1333000,Russia,Restaurants and Delivery,Restaurants and Delivery
CRM-153300,Russia,Retail,Entertainment and Ticketing
CRM-477000,Russia,Travel,Online Travel Agency (OTA)
CRM-1471600,Hong Kong,Retail,Jewelry and Accessories
CRM-1486450,France,Retail,Shoes
CRM-290550,Korea,Retail,Fashion Retailer
CRM-1490450,Turkey,B2B Commerce,B2B Commerce
CRM-1605600,Brazil,Finance,Insurance
CRM-1458100,Thailand,Finance,Banking
CRM-165700,Turkey,Retail,Marketplace
CRM-1042500,Turkey,Retail,Home and Furniture
CRM-273850,Singapore,Internet and Telecom,Internet and Telecom
CRM-863700,Singapore,Internet and Telecom,Internet and Telecom
CRM-885550,Singapore,Internet and Telecom,Internet and Telecom
CRM-885600,Singapore,Internet and Telecom,Internet and Telecom
CRM-1607100,Benelux,N/A,N/A
CRM-244950,Korea,Finance,Banking
CRM-1049850,Taiwan,Retail,Marketplace
CRM-236600,Indonesia,Travel,Airlines and Airports
CRM-262450,Turkey,Automotive,Automotive
CRM-1559900,Australia,Retail,Fashion Retailer
CRM-1597400,Australia,Retail,Fashion Retailer
CRM-1436200,CEE,Other,Other
CRM-1492450,Turkey,N/A,N/A
CRM-1471400,Malaysia,Media and Publishing,Content Websites
CRM-1494300,France,Retail,Cosmetics
CRM-1537800,France,Retail,Cosmetics
CRM-1502700,France,Other,Other
CRM-1437050,United Kingdom,Retail,Cosmetics
CRM-1515700,France,Retail,Cosmetics
CRM-1002400,CEE,Retail,Cosmetics
CRM-1585800,Australia,Retail,Fashion Retailer
CRM-1483050,South Cone,Internet and Telecom,Internet and Telecom
CRM-656700,CEE,Retail,Home and Furniture
CRM-1456600,Brazil,Finance,Investment
CRM-1500200,South Cone,Automotive,Automotive
CRM-1520250,Turkey,Media and Publishing,Content Websites
CRM-172850,Turkey,Retail,Cosmetics
CRM-424550,CEE,Retail,Cosmetics
CRM-547400,CEE,Retail,Cosmetics
CRM-1447100,CEE,Retail,Cosmetics
CRM-1485750,CEE,Retail,Cosmetics
CRM-1464850,CEE,Retail,Cosmetics
CRM-897850,CEE,Retail,Cosmetics
CRM-349150,CEE,Retail,Cosmetics
CRM-1447650,CEE,Retail,Cosmetics
CRM-1447400,CEE,Retail,Cosmetics
CRM-1553000,CEE,Retail,Cosmetics
CRM-908900,CEE,Retail,Cosmetics
CRM-424500,CEE,Retail,Cosmetics
CRM-1589750,Korea,Retail,Cosmetics
CRM-1567700,MENA,Retail,Fashion Retailer
CRM-156100,Turkey,Media and Publishing,Content Websites
CRM-1577250,Brazil,Retail,Animal Products
CRM-1233850,Singapore,Retail,Cosmetics
CRM-1502750,Russia,Restaurants and Delivery,Restaurants and Delivery
CRM-1497050,Turkey,Restaurants and Delivery,Restaurants and Delivery
CRM-558150,Australia,Retail,Supermarket Chains
CRM-1528600,Turkey,Retail,Fashion Retailer
CRM-1472200,Turkey,Retail,Fashion Retailer
CRM-5605550,Turkey,N/A,N/A
CRM-607700,Turkey,Retail,Fashion Retailer
CRM-510050,Turkey,Retail,Fashion Retailer
CRM-159400,Turkey,Other,Other
CRM-476700,Malaysia,Travel,Hotels and Accommodation
CRM-1490150,United States,Retail,Cosmetics
CRM-1467750,Turkey,Retail,Fashion Retailer
CRM-1438350,Spain,Retail,Gifts
CRM-1552300,Australia,Retail,Fashion Retailer
CRM-670600,Taiwan,Media and Publishing,Newspapers and Magazines
CRM-552000,Russia,Retail,Fashion Retailer
CRM-1526000,Vietnam,N/A,N/A
CRM-843200,Australia,Retail,Fashion Retailer
CRM-1457150,Brazil,Finance,Insurance
CRM-1034750,Taiwan,Retail,Consumer Electronics
CRM-941800,Vietnam,Retail,Fashion Retailer
CRM-1446900,MENA,Retail,Marketplace
CRM-1441050,Thailand,Retail,Consumer Electronics
CRM-1441100,Thailand,Retail,Consumer Electronics
CRM-1478350,Russia,Travel,Online Travel Agency (OTA)
CRM-950700,Turkey,Travel,Airlines and Airports
CRM-1500250,South Cone,Automotive,Automotive
CRM-285500,Taiwan,Retail,Cosmetics
CRM-893950,Korea,Retail,Cosmetics
CRM-1053700,Australia,Retail,Fashion Retailer
CRM-1500450,Australia,Retail,Fashion Retailer
CRM-1534450,Australia,Retail,Fashion Retailer
CRM-262500,CEE,Finance,"Credit, Loans and P2P"
CRM-359950,CEE,Finance,"Credit, Loans and P2P"
CRM-360000,CEE,Finance,"Credit, Loans and P2P"
CRM-654100,Vietnam,Other,Other
CRM-1598150,MENA,Retail,Shoes
CRM-1478800,Australia,Other,Other
CRM-1490200,MENA,Other,Other
CRM-340500,Russia,Retail,Sports
CRM-724550,Australia,Retail,Fashion Retailer
CRM-398050,CEE,Retail,Marketplace
CRM-1587000,United Kingdom,Retail,Cosmetics
CRM-1467950,United Kingdom,Retail,Fashion Retailer
CRM-1520850,Taiwan,Retail,Shoes
CRM-393800,Turkey,Automotive,Automotive
CRM-1513850,MENA,Restaurants and Delivery,Restaurants and Delivery
CRM-1521200,Turkey,Retail,N/A
CRM-1549300,Australia,Retail,N/A
CRM-1532500,Korea,Other,Other
CRM-197800,Russia,Retail,Kids Fashion
CRM-1586350,CEE,Retail,Cosmetics
CRM-1078200,CEE,Retail,Cosmetics
CRM-1579850,Turkey,Non Profit Organizations,Non Profit Organizations
CRM-1450700,Russia,Retail,Publications
CRM-1458200,MENA,Automotive,Automotive
CRM-418850,Turkey,Retail,Fashion Retailer
CRM-1286600,Australia,Retail,Fashion Retailer
CRM-1476200,South Cone,Retail,Cosmetics
CRM-174450,Russia,Retail,Sports
CRM-1483600,Benelux,B2B Commerce,B2B Commerce
CRM-676850,Singapore,Retail,Sports
CRM-1555750,Indonesia,Retail,Marketplace
CRM-1458300,CEE,Retail,Fitness
CRM-508550,United Kingdom,Retail,Fashion Retailer
CRM-444950,Indonesia,Retail,Sports
CRM-600200,Malaysia,Retail,Sports
CRM-756850,CEE,Retail,Sports
CRM-576500,Taiwan,Retail,Sports
CRM-651350,Vietnam,Retail,Sports
CRM-1165050,MENA,Retail,Sports
CRM-1554800,Turkey,Other,Other
CRM-1474700,Russia,Retail,Home and Furniture
CRM-1450550,Turkey,Other,Other
CRM-303900,CEE,Retail,Fashion Retailer
CRM-166800,Turkey,Retail,Fashion Retailer
