Customer ID,Status,Customer Level
CRM-751350,Churn,Semi-Enterprise
CRM-1441700,Retained,Enterprise
CRM-907950,Retained,Enterprise
CRM-404250,Churn,Long-tail
CRM-1493050,Retained,Semi-Enterprise
CRM-166000,Churn,Long-tail
CRM-1494150,Retained,Enterprise
CRM-1456750,Retained,Enterprise
CRM-304350,Churn,Long-tail
CRM-1497800,Onboarding,Enterprise
CRM-270200,Churn,Long-tail
CRM-1456650,Retained,Enterprise
CRM-1475350,Churn,Enterprise
CRM-337900,Retained,Enterprise
CRM-1483500,Churn,Long-tail
CRM-499600,Churn,Long-tail
CRM-1485650,Churn,Semi-Enterprise
CRM-1188300,Churn,Enterprise
CRM-5608700,Onboarding,Long-tail
CRM-608550,Churn,Long-tail
CRM-1580550,Onboarding,Enterprise
CRM-1494000,Retained,Enterprise
CRM-1456800,Churn,Semi-Enterprise
CRM-1465200,Retained,Enterprise
CRM-734450,Churn,Long-tail
CRM-1267350,Retained,Semi-Enterprise
CRM-1267450,Churn,Semi-Enterprise
CRM-1267400,Churn,Long-tail
CRM-1569700,Onboarding,Semi-Enterprise
CRM-1569750,Onboarding,Semi-Enterprise
CRM-1468200,Retained,Enterprise
CRM-1535100,Onboarding,Long-tail
CRM-1487450,Churn,Semi-Enterprise
CRM-198350,Churn,Enterprise
CRM-1464150,Churn,Enterprise
CRM-1102150,Retained,Long-tail
CRM-1579000,Onboarding,Long-tail
CRM-1502250,Churn,Semi-Enterprise
CRM-1480550,Retained,Semi-Enterprise
CRM-594300,Churn,Long-tail
CRM-1492200,Churn,Long-tail
CRM-1569550,Onboarding,Enterprise
CRM-1521500,Retained,Semi-Enterprise
CRM-331350,Churn,Long-tail
CRM-503800,Churn,Semi-Enterprise
CRM-329000,Retained,Enterprise
CRM-1437350,Churn,Semi-Enterprise
CRM-1519950,Retained,Enterprise
CRM-1601250,Onboarding,Enterprise
CRM-1460150,Retained,Enterprise
CRM-1471550,Churn,Long-tail
CRM-1481850,Churn,Enterprise
CRM-1478150,Churn,Semi-Enterprise
CRM-476500,Retained,Enterprise
CRM-343000,Churn,Long-tail
CRM-596050,Churn,Enterprise
CRM-304800,Churn,Long-tail
CRM-1480600,Retained,Semi-Enterprise
CRM-1510950,Churn,Long-tail
CRM-591000,Retained,Long-tail
CRM-927200,Retained,Enterprise
CRM-1446750,Retained,Enterprise
CRM-160100,Churn,Long-tail
CRM-5617700,Onboarding,Long-tail
CRM-422800,Churn,Long-tail
CRM-382950,Churn,Long-tail
CRM-940500,Churn,Long-tail
CRM-1517800,Retained,Semi-Enterprise
CRM-923850,Churn,Long-tail
CRM-1587550,Retained,Long-tail
CRM-1466750,Churn,Semi-Enterprise
CRM-1359600,Churn,Semi-Enterprise
CRM-556900,Retained,Enterprise
CRM-183400,Churn,Long-tail
CRM-1488700,Churn,Enterprise
CRM-1559500,Retained,Enterprise
CRM-1530950,Retained,Long-tail
CRM-1496900,Retained,Enterprise
CRM-879150,Churn,Long-tail
CRM-1442200,Churn,Long-tail
CRM-1333000,Churn,Long-tail
CRM-153300,Retained,Semi-Enterprise
CRM-477000,Churn,Long-tail
CRM-1471600,Retained,Enterprise
CRM-1486450,Retained,Enterprise
CRM-290550,Churn,Long-tail
CRM-1490450,Retained,Enterprise
CRM-1605600,Churn,Long-tail
CRM-1458100,Retained,Semi-Enterprise
CRM-165700,Churn,Long-tail
CRM-1042500,Churn,Long-tail
CRM-273850,Churn,Enterprise
CRM-863700,Churn,Long-tail
CRM-885550,Churn,Long-tail
CRM-885600,Churn,Long-tail
CRM-1607100,Onboarding,Enterprise
CRM-244950,Churn,Long-tail
CRM-1049850,Incomplete Deal,Long-tail
CRM-236600,Churn,Long-tail
CRM-262450,Retained,Enterprise
CRM-1559900,Retained,Enterprise
CRM-1597400,Retained,Enterprise
CRM-1436200,Churn,Long-tail
CRM-1492450,Churn,Long-tail
CRM-1471400,Onboarding,Enterprise
CRM-1494300,Retained,Enterprise
CRM-1537800,Retained,Enterprise
CRM-1502700,Retained,Enterprise
CRM-1437050,Retained,Enterprise
CRM-1515700,Retained,Enterprise
CRM-1002400,Retained,Enterprise
CRM-1585800,Onboarding,Enterprise
CRM-1483050,Retained,Enterprise
CRM-656700,Churn,Enterprise
CRM-1456600,Retained,Long-tail
CRM-1500200,Retained,Enterprise
CRM-1520250,Retained,Semi-Enterprise
CRM-172850,Retained,Semi-Enterprise
CRM-424550,Retained,Enterprise
CRM-547400,Retained,Enterprise
CRM-1447100,Retained,Enterprise
CRM-1485750,Retained,Semi-Enterprise
CRM-1464850,Churn,Long-tail
CRM-897850,Churn,Enterprise
CRM-349150,Retained,Enterprise
CRM-1447650,Retained,Enterprise
CRM-1447400,Churn,Long-tail
CRM-1553000,Onboarding,Enterprise
CRM-908900,Retained,Enterprise
CRM-424500,Retained,Enterprise
CRM-1589750,Retained,Semi-Enterprise
CRM-1567700,Onboarding,Long-tail
CRM-156100,Churn,Enterprise
CRM-1577250,Onboarding,Enterprise
CRM-1233850,Churn,Semi-Enterprise
CRM-1502750,Retained,Enterprise
CRM-1497050,Retained,Enterprise
CRM-558150,Retained,Enterprise
CRM-1528600,Retained,Enterprise
CRM-1472200,Retained,Enterprise
CRM-5605550,Onboarding,Enterprise
CRM-607700,Retained,Enterprise
CRM-510050,Retained,Enterprise
CRM-159400,Churn,Long-tail
CRM-476700,Retained,Enterprise
CRM-1490150,Churn,Long-tail
CRM-1467750,Retained,Enterprise
CRM-1438350,Churn,Long-tail
CRM-1552300,Retained,Semi-Enterprise
CRM-670600,Retained,Enterprise
CRM-552000,Churn,Long-tail
CRM-1526000,Retained,Enterprise
CRM-843200,Churn,Long-tail
CRM-1457150,Incomplete Deal,Enterprise
CRM-1034750,Contract Confirmation,Long-tail
CRM-941800,Retained,Long-tail
CRM-1446900,Retained,Enterprise
CRM-1441050,Retained,Enterprise
CRM-1441100,Retained,Enterprise
CRM-1478350,Retained,Semi-Enterprise
CRM-950700,Retained,Semi-Enterprise
CRM-1500250,Retained,Enterprise
CRM-285500,Churn,Long-tail
CRM-893950,Churn,Semi-Enterprise
CRM-1053700,Churn,Semi-Enterprise
CRM-1500450,Retained,Enterprise
CRM-1534450,Retained,Enterprise
CRM-262500,Churn,Long-tail
CRM-359950,Churn,Long-tail
CRM-360000,Churn,Long-tail
CRM-654100,Churn,Long-tail
CRM-1598150,Onboarding,Long-tail
CRM-1478800,Churn,Semi-Enterprise
CRM-1490200,Onboarding,Enterprise
CRM-340500,Churn,Long-tail
CRM-724550,Retained,Enterprise
CRM-398050,Churn,Semi-Enterprise
CRM-1587000,Retained,Enterprise
CRM-1467950,Churn,Enterprise
CRM-1520850,Retained,Enterprise
CRM-393800,Retained,Enterprise
CRM-1513850,Retained,Enterprise
CRM-1521200,Contract Confirmation,Long-tail
CRM-1549300,Retained,Enterprise
CRM-1532500,Onboarding,Enterprise
CRM-197800,Churn,Long-tail
CRM-1586350,Onboarding,Enterprise
CRM-1078200,Churn,Long-tail
CRM-1579850,Onboarding,Enterprise
CRM-1450700,Churn,Semi-Enterprise
CRM-1458200,Churn,Long-tail
CRM-418850,Churn,Long-tail
CRM-1286600,Retained,Enterprise
CRM-1476200,Contract Confirmation,Semi-Enterprise
CRM-174450,Churn,Long-tail
CRM-1483600,Retained,Long-tail
CRM-676850,Churn,Enterprise
CRM-1555750,Retained,Long-tail
CRM-1458300,Churn,Semi-Enterprise
CRM-508550,Churn,Semi-Enterprise
CRM-444950,Churn,Long-tail
CRM-600200,Churn,Semi-Enterprise
CRM-756850,Churn,Semi-Enterprise
CRM-576500,Churn,Semi-Enterprise
CRM-651350,Retained,Semi-Enterprise
CRM-1165050,Retained,Long-tail
CRM-1554800,Onboarding,Enterprise
CRM-1474700,Churn,Long-tail
CRM-1450550,Churn,Long-tail
CRM-303900,Retained,Enterprise
CRM-166800,Onboarding,Enterprise
CRM-1509500,Retained,Semi-Enterprise
CRM-1466500,Onboarding,Long-tail
CRM-325050,Churn,Semi-Enterprise
CRM-1500300,Retained,Enterprise
CRM-369900,Churn,Long-tail
CRM-155550,Retained,Semi-Enterprise
CRM-576050,Churn,Long-tail
CRM-159200,Retained,Enterprise
CRM-1521250,Retained,Enterprise
CRM-1483150,Retained,Long-tail
CRM-1337250,Retained,Long-tail
CRM-1552350,Onboarding,Semi-Enterprise
CRM-200350,Retained,Enterprise
CRM-1513300,Retained,Enterprise
CRM-1450500,Retained,Enterprise
CRM-1457450,Retained,Enterprise
CRM-1457500,Churn,Enterprise
CRM-187350,Churn,Long-tail
CRM-597900,Churn,Long-tail
CRM-1432700,Churn,Long-tail
CRM-1553050,Onboarding,Enterprise
CRM-1475250,Churn,Semi-Enterprise
CRM-252200,Churn,Long-tail
CRM-159650,Churn,Long-tail
CRM-254300,Churn,Long-tail
CRM-606700,Churn,Long-tail
CRM-1441800,Churn,Long-tail
CRM-1288650,Churn,Enterprise
CRM-1503600,Retained,Enterprise
CRM-267900,Churn,Long-tail
CRM-709650,Contract Confirmation,Semi-Enterprise
CRM-246300,Retained,Long-tail
CRM-1463350,Churn,Semi-Enterprise
CRM-1507300,Retained,Enterprise
CRM-151100,Churn,Long-tail
CRM-190300,Retained,Semi-Enterprise
CRM-158700,Retained,Enterprise
CRM-1436850,Churn,Long-tail
CRM-1514050,Retained,Enterprise
CRM-1499900,Retained,Long-tail
CRM-1500400,Retained,Long-tail
CRM-1165250,Churn,Enterprise
CRM-161750,Churn,Enterprise
CRM-1493250,Churn,Semi-Enterprise
CRM-1474400,Churn,Semi-Enterprise
CRM-1588950,Onboarding,Enterprise
CRM-908150,Churn,Long-tail
CRM-1518250,Onboarding,Enterprise
CRM-1471050,Retained,Enterprise
CRM-1542450,Retained,Enterprise
CRM-197850,Churn,Enterprise
CRM-1473350,Churn,Long-tail
CRM-166600,Churn,Long-tail
CRM-1597000,Onboarding,Enterprise
CRM-646950,Churn,Long-tail
CRM-1172350,Retained,Enterprise
CRM-1488800,Retained,Enterprise
CRM-1488850,Retained,Enterprise
CRM-1531800,Retained,Long-tail
CRM-5600650,Retained,Long-tail
CRM-169500,Churn,Long-tail
CRM-1607650,Retained,Enterprise
CRM-1461300,Churn,Long-tail
CRM-231100,Churn,Long-tail
CRM-1492550,Retained,Enterprise
CRM-1346850,Churn,Long-tail
CRM-1531000,Retained,Semi-Enterprise
CRM-1483550,Churn,Enterprise
CRM-1310400,Retained,Semi-Enterprise
CRM-584150,Churn,Long-tail
CRM-169600,Churn,Long-tail
CRM-156200,Churn,Long-tail
CRM-1179000,Churn,Long-tail
CRM-1533750,Retained,Enterprise
CRM-1589600,Onboarding,Long-tail
CRM-1517500,Retained,Enterprise
CRM-167000,Retained,Enterprise
CRM-174500,Churn,Long-tail
CRM-1461550,Retained,Semi-Enterprise
CRM-1509200,Onboarding,Long-tail
CRM-1606650,Onboarding,Enterprise
CRM-1606700,Onboarding,Enterprise
CRM-1606750,Onboarding,Enterprise
CRM-1602000,Onboarding,Enterprise
CRM-1606800,Onboarding,Enterprise
CRM-1606850,Onboarding,Enterprise
CRM-1516100,Onboarding,Long-tail
CRM-1443050,Churn,Long-tail
CRM-618050,Churn,Long-tail
CRM-1509900,Retained,Semi-Enterprise
CRM-1145350,Churn,Semi-Enterprise
CRM-412200,Churn,Enterprise
CRM-1511400,Retained,Semi-Enterprise
CRM-1325650,Churn,Semi-Enterprise
CRM-1492100,Retained,Semi-Enterprise
CRM-796600,Churn,Semi-Enterprise
CRM-157450,Retained,Long-tail
CRM-1503150,Churn,Enterprise
CRM-1520000,Onboarding,Semi-Enterprise
CRM-796400,Retained,Enterprise
CRM-1293200,Retained,Enterprise
CRM-1574350,Onboarding,Enterprise
CRM-1100500,Retained,Enterprise
CRM-1500900,Retained,Enterprise
CRM-1536350,Onboarding,Enterprise
CRM-5600850,Onboarding,Long-tail
CRM-1584450,Onboarding,Enterprise
CRM-1434700,Churn,Long-tail
CRM-166450,Retained,Semi-Enterprise
CRM-801400,Churn,Long-tail
CRM-1516700,Retained,Enterprise
CRM-393100,Churn,Long-tail
CRM-1484950,Retained,Semi-Enterprise
CRM-1461000,Churn,Semi-Enterprise
CRM-1478200,Retained,Enterprise
CRM-790100,Churn,Long-tail
CRM-183550,Churn,Long-tail
CRM-335100,Churn,Long-tail
CRM-1461800,Retained,Enterprise
CRM-1530150,Retained,Enterprise
CRM-250350,Churn,Long-tail
CRM-1468700,Retained,Enterprise
CRM-199350,Churn,Long-tail
CRM-1141400,Churn,Long-tail
CRM-532950,Retained,Semi-Enterprise
CRM-1501300,Retained,Enterprise
CRM-596350,Retained,Enterprise
CRM-1498050,Churn,Semi-Enterprise
CRM-879300,Retained,Semi-Enterprise
CRM-1451650,Churn,Semi-Enterprise
CRM-1502800,Contract Confirmation,Semi-Enterprise
CRM-561550,Retained,Enterprise
CRM-185750,Churn,Long-tail
CRM-404600,Churn,Long-tail
CRM-615050,Retained,Enterprise
CRM-1479700,Retained,Enterprise
CRM-155950,Retained,Semi-Enterprise
CRM-424400,Retained,Enterprise
CRM-547500,Retained,Enterprise
CRM-1447200,Retained,Semi-Enterprise
CRM-1464900,Churn,Enterprise
CRM-291550,Churn,Enterprise
CRM-349000,Retained,Enterprise
CRM-1091300,Retained,Semi-Enterprise
CRM-1447250,Churn,Long-tail
CRM-1553100,Onboarding,Enterprise
CRM-417150,Retained,Enterprise
CRM-424450,Retained,Enterprise
CRM-1485850,Retained,Semi-Enterprise
CRM-197700,Churn,Long-tail
CRM-5604950,Onboarding,Long-tail
CRM-158650,Churn,Long-tail
CRM-1446300,Churn,Long-tail
CRM-1157000,Churn,Enterprise
CRM-1440050,Retained,Enterprise
CRM-739100,Churn,Enterprise
CRM-277750,Churn,Long-tail
CRM-1534800,Retained,Semi-Enterprise
CRM-305050,Retained,Enterprise
CRM-1219750,Retained,Semi-Enterprise
CRM-767350,Retained,Semi-Enterprise
CRM-1509800,Churn,Semi-Enterprise
CRM-1510000,Retained,Enterprise
CRM-1481900,Churn,Long-tail
CRM-169250,Churn,Semi-Enterprise
CRM-1562600,Onboarding,Enterprise
CRM-862150,Retained,Enterprise
CRM-1489950,Retained,Semi-Enterprise
CRM-182200,Retained,Semi-Enterprise
CRM-387600,Retained,Enterprise
CRM-1564450,Retained,Enterprise
CRM-842450,In Opportunity Pipeline,Semi-Enterprise
CRM-5607600,Onboarding,Long-tail
CRM-165800,Churn,Long-tail
CRM-175450,Churn,Long-tail
CRM-1048200,Churn,Long-tail
