Customer ID,Year,Quarter,Survey Date,Response Date,How likely are you to recommend insider to a friend or colleague ,How would you rate the value you gain from our company,How frequently are you using our platform,Please rate the overall quality of our products,Please rate the usability of the panel,Please rate your understanding of our reporting capabilities in the panel
CRM-159850,2022,2,2022-04-01,2022-06-24,8,4,Once a Week,4,4,I tried but could not find everything I need
CRM-1491900,2022,3,2022-07-01,2022-09-07,8,5,Once a Week,5,5,I am able to report everything easily
CRM-159150,2022,2,2022-04-01,2022-04-16,7,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-159150,2022,3,2022-07-01,2022-09-11,8,4,Once a Day,4,3,I need someone from Insider team to provide me the report from the panel
CRM-159150,2022,2,2022-04-01,2022-04-01,9,5,Once a Day,5,4,I tried but could not find everything I need
CRM-159150,2022,3,2022-07-01,2022-09-27,9,5,Once a Day,5,5,I tried but could not find everything I need
CRM-1489250,2022,2,2022-04-01,2022-06-28,9,5,Once a Day,5,5,I am able to report everything easily
CRM-1489250,2022,3,2022-07-01,2022-08-30,8,5,Once a Week,5,5,I am able to report everything easily
CRM-1489250,2022,1,2022-01-01,2022-03-31,8,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1501100,2022,1,2022-01-01,2022-02-01,9,5,Once a Week,5,,"I can pull all the numbers, but don't understand them"
CRM-1501100,2022,3,2022-07-01,2022-09-29,8,4,Once a Week,4,5,"I can pull all the numbers, but don't understand them"
CRM-1481050,2022,1,2022-01-01,2022-03-01,6,3,Once a Day,3,3,I tried but could not find everything I need
CRM-1481050,2022,1,2022-01-01,2022-03-21,6,3,Once a Day,3,3,I tried but could not find everything I need
CRM-845700,2022,1,2022-01-01,2022-03-29,9,4,Once a Day,4,4,I am able to report everything easily
CRM-845700,2022,2,2022-04-01,2022-04-18,8,5,Once a Day,5,5,I am able to report everything easily
CRM-845700,2022,3,2022-07-01,2022-09-01,8,5,Once a Day,5,5,I am able to report everything easily
CRM-845700,2022,3,2022-07-01,2022-09-05,8,5,Once a Day,5,5,I am able to report everything easily
CRM-845700,2022,1,2022-01-01,2022-03-28,10,5,Once a Day,0,4,I am able to report everything easily
CRM-845700,2022,2,2022-04-01,2022-06-09,8,4,Once a Week,5,5,I am able to report everything easily
CRM-845700,2022,3,2022-07-01,2022-07-05,8,5,Once a Week,5,5,I am able to report everything easily
CRM-845700,2022,1,2022-01-01,2022-03-28,8,5,Once a Week,4,2,I need someone from Insider team to provide me the report from the panel
CRM-1481750,2022,2,2022-04-01,2022-06-23,8,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1481750,2022,3,2022-07-01,2022-09-22,9,5,Once a Month,4,4,I don't use it often
CRM-1481750,2022,3,2022-07-01,2022-09-30,9,5,Once a Week,4,4,I am able to report everything easily
CRM-706750,2022,3,2022-07-01,2022-09-12,7,4,Once a Day,4,5,I am able to report everything easily
CRM-706750,2022,3,2022-07-01,2022-09-30,8,4,Once a Week,4,5,I am able to report everything easily
CRM-1442100,2022,1,2022-01-01,2022-03-01,9,5,Once a Week,5,4,I am able to report everything easily
CRM-1442100,2022,2,2022-04-01,2022-06-14,9,5,Once a Day,4,4,I am able to report everything easily
CRM-783250,2022,1,2022-01-01,2022-02-01,9,4,Once a Week,4,,"I can pull all the numbers, but don't understand them"
CRM-783250,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,5,4,I don't use it often
CRM-1478200,2022,2,2022-04-01,2022-04-15,8,5,Once a Day,4,4,I don't use it often
CRM-1478200,2022,3,2022-07-01,2022-09-02,10,5,Once a Day,5,4,"I can pull all the numbers, but don't understand them"
CRM-372100,2022,1,2022-01-01,2022-03-30,7,3,Once a Week,4,5,I need someone from Insider team to provide me the report from the panel
CRM-372100,2022,2,2022-04-01,2022-06-28,10,5,Once a Week,4,5,I tried but could not find everything I need
CRM-372100,2022,1,2022-01-01,2022-03-30,10,5,Once a Month,5,5,I am able to report everything easily
CRM-372100,2022,3,2022-07-01,2022-07-01,10,5,Once a Month,5,5,"I can pull all the numbers, but don't understand them"
CRM-1454050,2022,3,2022-07-01,2022-09-07,10,5,Once a Month,5,3,I need someone from Insider team to provide me the report from the panel
CRM-1487700,2022,3,2022-07-01,2022-09-20,3,2,Once a Day,2,4,I am able to report everything easily
CRM-401300,2022,1,2022-01-01,2022-03-30,10,5,Once a Month,5,5,I need someone from Insider team to provide me the report from the panel
CRM-552650,2022,2,2022-04-01,2022-04-25,9,4,Once a Month,4,4,I tried but could not find everything I need
CRM-552650,2022,2,2022-04-01,2022-05-29,7,4,Once a Day,4,4,I tried but could not find everything I need
CRM-552650,2022,3,2022-07-01,2022-09-22,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-552600,2022,2,2022-04-01,2022-05-24,6,3,Once a Day,3,3,I need someone from Insider team to provide me the report from the panel
CRM-387200,2022,3,2022-07-01,2022-09-29,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-387200,2022,1,2022-01-01,2022-03-29,9,5,Once a Day,5,4,I need someone from Insider team to provide me the report from the panel
CRM-796350,2022,2,2022-04-01,2022-04-25,9,4,Once a Month,4,4,I tried but could not find everything I need
CRM-1437150,2022,3,2022-07-01,2022-07-04,8,5,Once a Week,5,5,I am able to report everything easily
CRM-505000,2022,1,2022-01-01,2022-03-21,8,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-505000,2022,2,2022-04-01,2022-05-17,8,4,Once a Month,4,4,I tried but could not find everything I need
CRM-505000,2022,2,2022-04-01,2022-05-17,8,3,Once a Week,3,3,I don't use it often
CRM-277800,2022,2,2022-04-01,2022-06-23,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-277800,2022,3,2022-07-01,2022-09-06,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-277800,2022,1,2022-01-01,2022-03-31,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-166050,2022,1,2022-01-01,2022-03-01,9,4,Once a Week,4,4,I am able to report everything easily
CRM-166050,2022,3,2022-07-01,2022-09-30,8,4,Once a Week,4,3,I am able to report everything easily
CRM-166050,2022,3,2022-07-01,2022-09-12,10,5,Once a Day,5,3,I tried but could not find everything I need
CRM-166050,2022,3,2022-07-01,2022-09-05,10,5,Once a Week,4,5,I need someone from Insider team to provide me the report from the panel
CRM-166050,2022,3,2022-07-01,2022-09-14,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-166050,2022,1,2022-01-01,2022-03-01,8,4,Once a Week,4,5,I need someone from Insider team to provide me the report from the panel
CRM-166050,2022,2,2022-04-01,2022-05-30,10,5,Once a Day,5,5,I tried but could not find everything I need
CRM-1497650,2022,1,2022-01-01,2022-03-21,9,3,Once a Week,3,3,"I can pull all the numbers, but don't understand them"
CRM-1019500,2022,2,2022-04-01,2022-05-31,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1019500,2022,1,2022-01-01,2022-03-01,8,4,Once a Day,4,,I am able to report everything easily
CRM-1019500,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,,I am able to report everything easily
CRM-1019500,2022,2,2022-04-01,2022-06-01,8,4,Once a Day,4,4,I am able to report everything easily
CRM-378850,2022,2,2022-04-01,2022-05-31,10,5,Once a Month,5,4,I need someone from Insider team to provide me the report from the panel
CRM-378850,2022,3,2022-07-01,2022-09-12,9,4,Once a Month,4,3,I need someone from Insider team to provide me the report from the panel
CRM-1079000,2022,1,2022-01-01,2022-03-29,8,4,Once a Day,4,4,I am able to report everything easily
CRM-1079000,2022,2,2022-04-01,2022-06-07,10,5,Once a Day,5,5,I tried but could not find everything I need
CRM-1079000,2022,3,2022-07-01,2022-08-24,10,5,Once a Day,5,5,I tried but could not find everything I need
CRM-1079000,2022,1,2022-01-01,2022-03-23,8,4,Once a Week,3,3,I tried but could not find everything I need
CRM-1079000,2022,2,2022-04-01,2022-06-27,8,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1079000,2022,3,2022-07-01,2022-08-30,9,4,Once a Day,4,4,I tried but could not find everything I need
CRM-1453650,2022,3,2022-07-01,2022-09-01,4,3,Once a Week,2,2,I am able to report everything easily
CRM-1453650,2022,1,2022-01-01,2022-03-28,7,5,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1453650,2022,2,2022-04-01,2022-06-30,4,2,Once a Week,2,2,I tried but could not find everything I need
CRM-1453650,2022,3,2022-07-01,2022-09-29,7,3,Once a Day,3,4,I tried but could not find everything I need
CRM-1453700,2022,2,2022-04-01,2022-06-24,7,3,Once a Day,3,3,I am able to report everything easily
CRM-329450,2022,3,2022-07-01,2022-09-29,8,4,Once a Day,4,4,I tried but could not find everything I need
CRM-329450,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-329450,2022,2,2022-04-01,2022-05-20,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-329450,2022,3,2022-07-01,2022-08-23,10,4,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-329450,2022,2,2022-04-01,2022-06-06,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-721800,2022,3,2022-07-01,2022-08-05,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-721800,2022,1,2022-01-01,2022-02-01,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-721800,2022,2,2022-04-01,2022-06-29,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-703400,2022,2,2022-04-01,2022-06-29,10,5,Once a Day,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1501200,2022,2,2022-04-01,2022-06-23,7,3,Once a Month,3,4,I need someone from Insider team to provide me the report from the panel
CRM-1501200,2022,3,2022-07-01,2022-09-16,8,4,Once a Week,4,5,I need someone from Insider team to provide me the report from the panel
CRM-1501200,2022,2,2022-04-01,2022-05-30,10,5,Once a Day,3,5,I need someone from Insider team to provide me the report from the panel
CRM-1501200,2022,3,2022-07-01,2022-08-29,8,5,Once a Day,3,5,I need someone from Insider team to provide me the report from the panel
CRM-1516450,2022,3,2022-07-01,2022-09-20,8,4,Once a Month,4,4,I don't use it often
CRM-1516450,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,5,5,I am able to report everything easily
CRM-1516450,2022,3,2022-07-01,2022-09-02,10,5,Once a Week,4,4,I am able to report everything easily
CRM-828400,2022,2,2022-04-01,2022-04-17,8,4,Once a Day,4,3,I tried but could not find everything I need
CRM-828400,2022,3,2022-07-01,2022-08-30,9,5,Once a Day,4,4,I tried but could not find everything I need
CRM-828400,2022,3,2022-07-01,2022-09-06,9,5,Once a Day,4,4,I am able to report everything easily
CRM-828400,2022,3,2022-07-01,2022-07-06,7,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-1468800,2022,3,2022-07-01,2022-09-07,9,5,Once a Week,4,4,I tried but could not find everything I need
CRM-1468800,2022,3,2022-07-01,2022-09-07,8,4,Once a Day,5,5,I am able to report everything easily
CRM-1468800,2022,2,2022-04-01,2022-06-29,9,5,Once a Week,5,5,I am able to report everything easily
CRM-565500,2022,1,2022-01-01,2022-03-31,10,4,Once a Day,5,5,I am able to report everything easily
CRM-565500,2022,2,2022-04-01,2022-06-28,10,5,Once a Week,5,5,I am able to report everything easily
CRM-565500,2022,3,2022-07-01,2022-09-24,8,4,Once a Day,3,4,I need someone from Insider team to provide me the report from the panel
CRM-565500,2022,2,2022-04-01,2022-06-28,9,5,Once a Week,5,5,I tried but could not find everything I need
CRM-565500,2022,3,2022-07-01,2022-09-23,6,4,Once a Day,3,3,I tried but could not find everything I need
CRM-1103750,2022,2,2022-04-01,2022-06-24,9,5,Once a Month,5,4,"I can pull all the numbers, but don't understand them"
CRM-1103750,2022,3,2022-07-01,2022-09-21,8,5,Once a Week,4,3,I am able to report everything easily
CRM-1103750,2022,2,2022-04-01,2022-06-08,8,4,Once a Day,5,3,I don't use it often
CRM-1043250,2022,2,2022-04-01,2022-06-30,10,5,Once a Week,4,5,I need someone from Insider team to provide me the report from the panel
CRM-927700,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-927700,2022,1,2022-01-01,2022-02-01,9,4,Once a Week,4,4,I need someone from Insider team to provide me the report from the panel
CRM-927800,2022,2,2022-04-01,2022-05-26,7,4,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-927800,2022,3,2022-07-01,2022-09-05,5,3,Once a Day,4,4,I need someone from Insider team to provide me the report from the panel
CRM-927800,2022,2,2022-04-01,2022-06-07,7,4,Once a Day,4,5,I need someone from Insider team to provide me the report from the panel
CRM-1446950,2022,2,2022-04-01,2022-06-30,7,3,Once a Day,3,4,I am able to report everything easily
CRM-1446950,2022,3,2022-07-01,2022-09-29,7,4,Once a Week,4,4,I am able to report everything easily
CRM-1444600,2022,3,2022-07-01,2022-09-22,8,4,Once a Month,4,4,"I can pull all the numbers, but don't understand them"
CRM-1444600,2022,2,2022-04-01,2022-05-02,7,4,Once a Week,4,4,I am able to report everything easily
CRM-1444600,2022,1,2022-01-01,2022-03-01,10,5,Once a Week,5,4,I am able to report everything easily
CRM-1444600,2022,1,2022-01-01,2022-03-21,10,5,Once a Week,5,4,I am able to report everything easily
CRM-1444600,2022,2,2022-04-01,2022-06-21,10,5,Once a Week,4,4,I am able to report everything easily
CRM-230500,2022,3,2022-07-01,2022-09-12,10,5,Once a Month,4,4,I tried but could not find everything I need
CRM-230500,2022,2,2022-04-01,2022-06-22,10,5,Once a Week,4,4,I don't use it often
CRM-230500,2022,1,2022-01-01,2022-03-31,10,5,Once a Month,5,5,I don't use it often
CRM-230500,2022,2,2022-04-01,2022-06-06,7,3,Once a Month,3,4,I need someone from Insider team to provide me the report from the panel
CRM-230500,2022,3,2022-07-01,2022-09-12,6,4,Once a Month,4,4,I need someone from Insider team to provide me the report from the panel
CRM-547850,2022,3,2022-07-01,2022-09-15,10,5,Once a Month,5,5,I don't use it often
CRM-163250,2022,3,2022-07-01,2022-09-08,9,5,Once a Day,5,5,I am able to report everything easily
CRM-1531900,2022,3,2022-07-01,2022-09-05,10,5,Once a Week,5,5,I need someone from Insider team to provide me the report from the panel
CRM-1479450,2022,3,2022-07-01,2022-09-05,9,4,Once a Day,4,4,I am able to report everything easily
CRM-701050,2022,2,2022-04-01,2022-05-30,8,4,Once a Day,5,4,I am able to report everything easily
CRM-701050,2022,3,2022-07-01,2022-07-07,9,4,Once a Day,4,5,I am able to report everything easily
CRM-701050,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,0,,I don't use it often
CRM-701050,2022,1,2022-01-01,2022-03-01,9,4,Once a Day,4,4,I don't use it often
CRM-701050,2022,1,2022-01-01,2022-03-21,9,4,Once a Day,4,4,I don't use it often
CRM-701050,2022,2,2022-04-01,2022-05-19,7,4,Once a Day,4,3,I tried but could not find everything I need
CRM-701050,2022,3,2022-07-01,2022-08-05,7,4,Once a Day,4,4,I tried but could not find everything I need
CRM-1149100,2022,2,2022-04-01,2022-06-29,8,4,Once a Week,5,5,I am able to report everything easily
CRM-1149100,2022,1,2022-01-01,2022-03-23,8,4,Once a Day,5,4,I tried but could not find everything I need
CRM-1149100,2022,1,2022-01-01,2022-03-28,8,4,Once a Day,3,4,I tried but could not find everything I need
CRM-1149100,2022,2,2022-04-01,2022-06-08,7,4,Once a Day,4,3,I am able to report everything easily
CRM-1149100,2022,3,2022-07-01,2022-08-25,8,4,Once a Day,4,4,I am able to report everything easily
